Brand,Price,Year,Transmission,Capacity,Mileage,Published_Date,USD_Rate,Fuel_Price,Crude_Oil_Price
Bajaj CT-100,215000,2015,Manual,100,11111,10/25/2021,202,157,15859.02
Bajaj CT-100,215000,2014,Manual,100,35000,10/21/2021,200.46,157,15738.11
Bajaj CT-100,215000,2014,Manual,100,54518,10/19/2021,201,157,15780.51
Bajaj CT-100,215000,2014,Manual,100,78000,10/18/2021,200.44,157,15736.54
Bajaj CT-100,215000,2015,Manual,100,60000,10/17/2021,202.03,157,15861.38
Bajaj CT-100,215000,2014,Manual,100,1234,10/11/2021,200.06,157,15706.71
Bajaj CT-100,215000,2015,Manual,100,55000,9/30/2021,199.67,157,13795.2
Bajaj CT-100,215000,2014,Manual,99,35000,9/16/2021,199.45,157,13780
Bajaj CT-100,217000,2016,Manual,100,25060,10/23/2021,201.35,157,15807.99
Bajaj CT-100,217000,2015,Manual,100,75875,10/20/2021,200.54,157,15744.4
Bajaj CT-100,218000,2015,Manual,100,34000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,218000,2015,Manual,100,52360,11/1/2021,201.98,157,15441.37
Bajaj CT-100,218000,2015,Manual,100,49000,10/5/2021,199.69,157,15677.66
Bajaj CT-100,218000,2015,Manual,100,47000,9/29/2021,199.76,157,13801.42
Bajaj CT-100,219000,2016,Manual,100,46000,10/9/2021,199.89,157,15693.36
Bajaj CT-100,220000,2015,Manual,100,38450,11/4/2021,201.49,157,15403.91
Bajaj CT-100,220000,2016,Manual,100,35600,11/3/2021,201.45,157,15400.85
Bajaj CT-100,220000,2015,Manual,100,28000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,220000,2016,Manual,100,40852,11/2/2021,201.98,157,15441.37
Bajaj CT-100,220000,2015,Manual,100,60000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,220000,2015,Manual,100,55320,10/30/2021,202.05,157,15862.95
Bajaj CT-100,220000,2014,Manual,100,66100,10/8/2021,200.03,157,15704.36
Bajaj CT-100,220000,2015,Manual,100,24000,10/3/2021,199.68,157,15676.88
Bajaj CT-100,220000,2014,Manual,100,41000,10/3/2021,199.68,157,15676.88
Bajaj CT-100,220000,2015,Manual,110,38000,9/25/2021,199.72,157,13798.65
Bajaj CT-100,222000,2014,Manual,100,55000,10/24/2021,201.33,157,15806.42
Bajaj CT-100,223000,2015,Manual,100,21000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,223000,2015,Manual,100,21015,11/1/2021,201.98,157,15441.37
Bajaj CT-100,223000,2016,Manual,100,30889,10/29/2021,202.05,157,15862.95
Bajaj CT-100,223000,2015,Manual,100,30000,10/13/2021,201.02,157,15782.08
Bajaj CT-100,225000,2017,Manual,100,24550,11/4/2021,201.49,157,15403.91
Bajaj CT-100,225000,2016,Manual,100,32000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,225000,2015,Manual,100,47000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,225000,2015,Manual,100,20000,10/28/2021,201.93,157,15853.52
Bajaj CT-100,225000,2016,Manual,99,34500,10/28/2021,201.93,157,15853.52
Bajaj CT-100,225000,2015,Manual,100,30000,10/20/2021,200.54,157,15744.4
Bajaj CT-100,225000,2014,Manual,100,26102,10/14/2021,200.98,157,15778.94
Bajaj CT-100,225000,2015,Manual,99,48000,10/11/2021,200.06,157,15706.71
Bajaj CT-100,225000,2015,Manual,100,29000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,225000,2015,Manual,100,60000,10/6/2021,199.42,157,15656.46
Bajaj CT-100,225000,2015,Automatic,100,35000,9/27/2021,200.05,157,13821.45
Bajaj CT-100,225000,2016,Manual,100,70000,9/26/2021,199.72,157,13798.65
Bajaj CT-100,227000,2016,Manual,100,23700,11/2/2021,201.98,157,15441.37
Bajaj CT-100,228000,2015,Manual,100,71000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,228000,2016,Manual,100,37000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,228000,2016,Manual,100,35000,10/23/2021,201.35,157,15807.99
Bajaj CT-100,228000,2016,Manual,100,30000,9/26/2021,199.72,157,13798.65
Bajaj CT-100,228000,2015,Manual,100,65000,9/10/2021,199.73,157,13799.35
Bajaj CT-100,229000,2016,Manual,100,70000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,229000,2015,Manual,100,36985,10/26/2021,201.48,157,15818.19
Bajaj CT-100,230000,2016,Manual,100,20000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,230000,2015,Manual,100,26000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,230000,2015,Manual,100,70852,11/4/2021,201.49,157,15403.91
Bajaj CT-100,230000,2015,Manual,100,38000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,230000,2016,Manual,100,38000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,230000,2014,Manual,100,16000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,230000,2017,Manual,100,40000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,230000,2016,Manual,100,1111,10/29/2021,202.05,157,15862.95
Bajaj CT-100,230000,2016,Manual,100,60000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,230000,2015,Manual,100,40000,10/28/2021,201.93,157,15853.52
Bajaj CT-100,230000,2015,Manual,100,39500,10/28/2021,201.93,157,15853.52
Bajaj CT-100,230000,2015,Manual,100,39000,10/19/2021,201,157,15780.51
Bajaj CT-100,230000,2015,Manual,100,75000,10/13/2021,201.02,157,15782.08
Bajaj CT-100,230000,2013,Manual,100,76000,10/12/2021,200.5,157,15741.26
Bajaj CT-100,230000,2015,Manual,100,34000,10/11/2021,200.06,157,15706.71
Bajaj CT-100,230000,2016,Manual,100,36000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,230000,2016,Manual,100,49000,9/15/2021,199.45,157,13780
Bajaj CT-100,230000,2014,Manual,100,78000,9/13/2021,199.5,157,13783.46
Bajaj CT-100,232000,2015,Manual,102,123,9/19/2021,199.57,157,13788.29
Bajaj CT-100,233000,2015,Manual,100,27000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,235000,2016,Manual,100,38000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,235000,2015,Manual,100,23000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,235000,2015,Manual,100,23000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,235000,2016,Manual,100,27000,10/30/2021,202.05,157,15862.95
Bajaj CT-100,235000,2015,Manual,100,49000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,235000,2016,Manual,100,39000,10/21/2021,200.46,157,15738.11
Bajaj CT-100,235000,2014,Manual,100,20000,10/19/2021,201,157,15780.51
Bajaj CT-100,235000,2015,Manual,100,25800,10/18/2021,200.44,157,15736.54
Bajaj CT-100,235000,2015,Manual,100,20000,10/10/2021,199.89,157,15693.36
Bajaj CT-100,235000,2015,Manual,100,41000,10/4/2021,200.01,157,15702.79
Bajaj CT-100,235000,2014,Manual,100,49000,10/2/2021,199.7,157,15678.45
Bajaj CT-100,235000,2016,Manual,100,68501,9/26/2021,199.72,157,13798.65
Bajaj CT-100,235000,2015,Manual,100,47000,9/26/2021,199.72,157,13798.65
Bajaj CT-100,235000,2015,Manual,100,20000,9/24/2021,199.73,157,13799.35
Bajaj CT-100,237000,2015,Manual,100,20000,10/2/2021,199.7,157,15678.45
Bajaj CT-100,238000,2016,Manual,100,36724,11/4/2021,201.49,157,15403.91
Bajaj CT-100,238000,2015,Manual,100,21775,11/2/2021,201.98,157,15441.37
Bajaj CT-100,238000,2015,Manual,100,53797,10/30/2021,202.05,157,15862.95
Bajaj CT-100,238000,2016,Manual,100,35000,10/28/2021,201.93,157,15853.52
Bajaj CT-100,238000,2016,Manual,100,40000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,238000,2017,Manual,100,37800,10/5/2021,199.69,157,15677.66
Bajaj CT-100,238000,2017,Manual,100,33450,10/4/2021,200.01,157,15702.79
Bajaj CT-100,238000,2015,Manual,100,29460,9/27/2021,200.05,157,13821.45
Bajaj CT-100,238000,2016,Manual,100,41000,9/27/2021,200.05,157,13821.45
Bajaj CT-100,238000,2014,Manual,100,41800,9/26/2021,199.72,157,13798.65
Bajaj CT-100,238000,2015,Manual,100,89000,9/18/2021,199.62,157,13791.75
Bajaj CT-100,240000,2017,Manual,100,27000,10/20/2021,200.54,157,15744.4
Bajaj CT-100,240000,2016,Manual,100,67000,10/19/2021,201,157,15780.51
Bajaj CT-100,240000,2014,Manual,100,18380,10/11/2021,200.06,157,15706.71
Bajaj CT-100,240000,2016,Manual,100,45000,10/9/2021,199.89,157,15693.36
